term	class_number	class_status	tuition	start_date	end_date	faculty	location	room	days	start_time	end_time	comments	title	course_description	prerequisites	major_division	minor_division	cluster	hours	session	cluster_description	catalogpghdr	suffixdesc
2005SP	ITNW-1059-22001	Open	$160.00 	1/11/2005	2/3/2005	Koif	BHJ	J115	TR	1/0/1900	1/0/1900		HTML	"Using the Internet means more than just surfing the World Wide Web. Take advantage of the marketing potential for your business by learning the basics of this easy-to-use method of developing a Home Page. This course will cover HTML editors, standard text command codes, hypertext links, and graphic links; advanced topics on tables, forms and framing. Other topics covered: working with cascading style sheets, client side bit maps, CGI scripts, and programming with JavaScript. Text required."	"Windows 98 or XP, and good keyboarding skills"	Computer Training		Internet	24	8		
2005SP	IMED-1016-22001	Open	$160.00 	2/5/2005	2/27/2005	Hopkins	BHEC	002	SU	1/0/1900	1/0/1900		Flash MX	"
Flash MX is a multimedia tool, which will allow students to create vector-based animations with built-in interactivity.  Flash is designed for artists and developers who want to use a computer to fulfill their visions for interactive art and show their works to the world via the Internet.  In this course students will learn to: use the document window, the drawing and color tools, animation basics, shape tweening, symbols and instances, motion tweening, bitmaps, buttons, movie clips, ActionScripting basics, work with text, sound and video; publish and export, and put it all together for the big picture. Some integration is also covered. Text required."	"Computer Literacy,  Windows 98 or XP, and HTML."	Computer Training		Multimedia	24	8		Multimedia
2005SP	DANC-1001-22002	Open	$30.00 	2/17/2005	3/10/2005	Fairchild	ORLT	TBA	R	1/0/1900	1/0/1900		Ballroom Dance	"Ballroom is back! If you enjoy the favorites from the 1930s and 40s as well as today's music, then re-live the wonderful times of the Big Band Era. Learn the Foxtrot, Tango, Rumba, Waltz, Cha-Cha, and East Coast Swing. Note: No partner necessary. This course meets in the dance room at RL Turner HS at the corner of Josey and Crosby. Park in the rear of building and enter into the cafeteria.  The door to the classroom is unmarked and has no room number. The classroom is located behind the door at the rear of the cafeteria on the right-hand side."		Music and Dance		DANCE	4	3		
2005SP	ITNW-1050-23001	Open	$160.00 	4/2/2005	4/24/2005	Hopkins	BHEC	002	SU	1/0/1900	1/0/1900		Dreamweaver MX	"Learning Dreamweaver MX offers web developers the productivity of a visual web page layout tool, the control of an HTML editor to design websites, and the support for dynamic HTML. Students will learn to define and modify page properties, use the Property Inspector to control the format or look of an object on a page, create basic and additional pages, set up templates, work with text formatting and styles, create hyperlinks, import images, create tables, build a frameset, and upload a test website. Students will take a closer look at the Property Inspector to control all objects on a page, use the HTML built-in editor to inspect the code and add your own HTML, as well as inserting Flash and Shockwave movies, and much more. Text required."	Computer Literacy and Windows 98 or XP	Computer Training		Multimedia	24	8		Multimedia
2005SP	ARTC-1090-22001	Open	$160.00 	1/10/2005	2/2/2005		BHEC	002	MW	1/0/1900	1/0/1900	No class 1/17	Illustrator CS for the PC	"This course will cover a variety of tools and commands for creating basic shapes. Students will learn drawing with the pen tool, painting, applying transparency and blending modes, working with layers, transforming objects, working with placement and order of objects, applying appearance attributes, styles and effects, working with type, blending shapes and colors, working with symbols, brushes and scribbles, creating airbrush effects, using the 3D effect, printing artwork and producing color separations, and combining Illustrator graphics and Photoshop images, and creating  web publications. Text required."	Computer Literacy and Windows 98 or XP	Computer Training		Computer Graphics and Desktop Publishing for the PC	24	6		
2005SP	ARTC-1091-22001	Open	$160.00 	2/7/2005	3/2/2005	Hurley	BHEC	002	MW	1/0/1900	1/0/1900		Photoshop CS for PC	"This hands-on/lecture course using Photoshop CS will begin with an introductory tour of the software and then progress to more complex topics like color management; web graphics, and photo retouching. Topics will include basic photo corrections; working with selections and layers; masks and channels; retouching and repairing; painting and editing; pen tool techniques; vector masks, paths, and shapes; advanced layer techniques; creating special effects; preparing images for two-color printing; creating links within an image; optimizing web images; animating GIF images for the web; setting up your monitor for color management; and producing and printing consistent color. Text required."	Computer Literacy and Windows 98/XP.	Computer Training		Computer Graphics and Desktop Publishing for the PC	24	8		
2005SP	GRPH-2033-23001	Open	$160.00 	3/7/2005	3/30/2005	Cooper	BHEC	002	MW	1/0/1900	1/0/1900		InDesign for the PC	"InDesign is a popular page-layout program. This powerful design and production tool offers precision, control, and seamless integration with other Adobe professional graphics applications. Using InDesign, students can produce professional-quality, full-color output to a wide range of output devices and formats. Students will be introduced to the document window, the pasteboard, the toolbox and the floating palettes. Students will learn how to create master pages; set columns and guides; work with frames; create and apply colors, tints, and gradients; import and link graphics; draw vector graphics; work with transparency; import and edit text; work with typography; create tables; publish with XML; combine files into books; manage monitor color; and ensure consistent color. Text required."	Introduction to Windows.	Computer Training		Computer Graphics and Desktop Publishing for the PC	24	8		
2005SP	GRPH-1051-23001	Open	$160.00 	4/4/2005	4/27/2005		BHEC	002	MW	1/0/1900	1/0/1900		QuarkXPress for PC	"Students will be introduced to the new features in QuarkXPress 6 including project files containing multiple layouts, Synchronized Text, and improved table creation. Other topics include: tools palette, measurements palette, page layout palette, style sheets palette, and colors palette; planning and designing layouts, working with text and text flow, and creating and importing graphics; working with tables and tabs; typography and formatting; pictures and lines; style sheets, color, layers and béziers, and more advanced topics like exporting documents as Web pages and adding hyperlinks. Text required."	Introduction to Windows 98 or XP.	Computer Training		Computer Graphics and Desktop Publishing for the PC	24	8		
2005SP	ITSC-1022-22001	Open	$26.00 	1/10/2005	1/14/2005	Norman	BHP	P121	MTWRF	1/0/1900	1/0/1900		Computer Literacy for Senior Adults	"This 15-hour introductory course is designed to provide beginning computer users with the skills and confidence they need to enter the electronic age. Using hands-on practice sessions, students will learn how to get started on a PC. Topics include how to name and save files, organize files and folders, and protect files; connect to the Internet, browse and search the Web, and send E-mail and attachments. Students will be introduced to  application software, and learn how to write and print documents, make a spreadsheet and a presentation, work with graphics, record and edit sound, and create desktop video and animation. Other topics include how a computer works, memory, processors, how to upgrade, and how to buy a PC. Text required."	55 years of age	Computer Training		Computer Training for Senior Adults	15	5	"For additional senior adult courses not listed in this schedule, please contact Janice Groeneman, coordinator for Senior Adult Education Programs: (972) 860-4698."	
2005SP	ITSC-1022-23002	Open	$26.00 	3/14/2005	3/17/2005	Norman	BHP	P121	MTWR	1/0/1900	1/0/1900	No class 3/18	Computer Literacy for Senior Adults	"This 15-hour introductory course is designed to provide beginning computer users with the skills and confidence they need to enter the electronic age. Using hands-on practice sessions, students will learn how to get started on a PC. Topics include how to name and save files, organize files and folders, and protect files; connect to the Internet, browse and search the Web, and send E-mail and attachments. Students will be introduced to  application software, and learn how to write and print documents, make a spreadsheet and a presentation, work with graphics, record and edit sound, and create desktop video and animation. Other topics include how a computer works, memory, processors, how to upgrade, and how to buy a PC. Text required."	55 years of age	Computer Training		Computer Training for Senior Adults	15	4	"For additional senior adult courses not listed in this schedule, please contact Janice Groeneman, coordinator for Senior Adult Education Programs: (972) 860-4698."	
2005SP	ITSC-1006-22001	Open	$26.00 	1/24/2005	1/28/2005	Norman	BHP	P121	MTWRF	1/0/1900	1/0/1900		Windows XP for Senior Adults	"This course provides a comprehensive overview of the newest version of Microsoft Windows. This version includes a new look to the user interface, start menu and Control Panel, as well as increased stability of the operating system.  Students will use the Windows Explorer to create, open, save and manage files. Topics will include the start menu items, the desktop, shortcuts, the Taskbar, folder windows, programs and dialog boxes, Accessories, System Tools, and the Internet Explorer. Students also will learn how to work with multiple windows, transfer data between applications, and customize your computer using the Control Panel. Text required."	"Computer Literacy, and 55 years of age."	Computer Training		Computer Training for Senior Adults	18	4	"For additional senior adult courses not listed in this schedule, please contact Janice Groeneman, coordinator for Senior Adult Education Programs: (972) 860-4698."
2005SP	ITSC-1006-23002	Open	$26.00 	3/28/2005	4/1/2005	Norman	BHP	P121	MTWRF	1/0/1900	1/0/1900		Windows XP for Senior Adults	"This course provides a comprehensive overview of the newest version of Microsoft Windows. This version includes a new look to the user interface, start menu and Control Panel, as well as increased stability of the operating system.  Students will use the Windows Explorer to create, open, save and manage files. Topics will include the start menu items, the desktop, shortcuts, the Taskbar, folder windows, programs and dialog boxes, Accessories, System Tools, and the Internet Explorer. Students also will learn how to work with multiple windows, transfer data between applications, and customize your computer using the Control Panel. Text required."	"Computer Literacy, and 55 years of age."	Computer Training		Computer Training for Senior Adults	18	4	"For additional senior adult courses not listed in this schedule, please contact Janice Groeneman, coordinator for Senior Adult Education Programs: (972) 860-4698."
2005SP	ITNW-1007-22001	Open	$26.00 	1/18/2005	1/21/2005	Norman	BHP	P121	TWRF	1/0/1900	1/0/1900		Internet for Senior Adults	"This course introduces students to the Internet through hands-on experience via an individual access to a direct Internet connection. Students will learn how to connect to the internet, find web sites; identify IP addresses, domain names and URLs; use browser and desktop shortcuts; how to use advanced search techniques; e-mail systems; and how to get more out of the internet to find news, sports, weather, health, entertainment, hobby, personal finances, education and shopping information. Text required."	"Computer Literacy, Windows 98 or XP, and 55 years of age"	Computer Training		Computer Training for Senior Adults	10	3	"For additional senior adult courses not listed in this schedule, please contact Janice Groeneman, coordinator for Senior Adult Education Programs: (972) 860-4698."
2005SP	ITNW-1007-23001	Open	$26.00 	3/21/2005	3/24/2005	Norman	BHP	P121	MTWR	1/0/1900	1/0/1900	No class 3/25	Internet for Senior Adults	"This course introduces students to the Internet through hands-on experience via an individual access to a direct Internet connection. Students will learn how to connect to the internet, find web sites; identify IP addresses, domain names and URLs; use browser and desktop shortcuts; how to use advanced search techniques; e-mail systems; and how to get more out of the internet to find news, sports, weather, health, entertainment, hobby, personal finances, education and shopping information. Text required."	"Computer Literacy, Windows 98 or XP, and 55 years of age"	Computer Training		Computer Training for Senior Adults	10	3	"For additional senior adult courses not listed in this schedule, please contact Janice Groeneman, coordinator for Senior Adult Education Programs: (972) 860-4698."
2005SP	CPMT-1003-22001	Open	$795.00 	1/10/2005	4/18/2005	McGinnis	BHQ	Q113	MW	1/0/1900	1/0/1900	No class 1/17	A+/Professional PC Technician	"Ready to start a career in information technology, have limited experience and need to know where to start?  This course is designed specifically for students pursuing a career in the computer industry that want maximum ""hands-on"" learning experiences.  Prepare for the A+ Certification, a test that covers a broad range of vendor-neutral hardware and software technology.  Earning the A+ certification signifies that you possess the knowledge and skills essential for a successful entry-level computer postion, as identified by experts from companies across the industry.  This class provides a solid foundation in multiple operating systems, networking, Windows architecture, printer support and troubleshooting fundamentals."		Computer Training		MicroComputer Maintenance and Repair	112	28	
2005SP	CPMT-1003-22002	Open	$795.00 	2/5/2005	5/22/2005	McGinnis	BHQ	Q113	SU	1/0/1900	1/0/1900	"No class 3/19, 3/20, 3/26, 3/27"	A+/Professional PC Technician	"Ready to start a career in information technology, have limited experience and need to know where to start?  This course is designed specifically for students pursuing a career in the computer industry that want maximum ""hands-on"" learning experiences.  Prepare for the A+ Certification, a test that covers a broad range of vendor-neutral hardware and software technology.  Earning the A+ certification signifies that you possess the knowledge and skills essential for a successful entry-level computer postion, as identified by experts from companies across the industry.  This class provides a solid foundation in multiple operating systems, networking, Windows architecture, printer support and troubleshooting fundamentals."		Computer Training		MicroComputer Maintenance and Repair	112	27	
2005SP	ITNW-2036-22001	Open	$135.00 	1/15/2005	2/5/2005	Atta	BHEC	008	S	1/0/1900	1/0/1900		XML	"Mastering XML is essential for anyone developing web, e-commerce or data-storage applications.  Learn what XML is, what it can do and how to use it in this fast paced class.  The class covers XML syntax and definitions, how to construct and parse a well formed XML document, using namespaces and schemas, document type definitions (DTD) and advanced functionality using XSLT."	"HTML and some knowledge of a relational database, scripting and/or object oriented programming languages."	Computer Training		Internet	18	4	
2005SP	ITSE-1003-22001	Open	$135.00 	1/11/2005	1/27/2005	Lehr	BHEC	008	TR	1/0/1900	1/0/1900		Intro to Programming Languages	"Develop programming skills while solving challenging business problems and learning about object-oriented design.  Topics include algorithms, control structures, array processing, modularisation, cohesion and coupling.  Design techniques are presented using pseudocode and flowcharts."	Computer literacy or equivalent	Computer Training	Computer Training	Programming Languages	18	6	
2005SP	ITSE-1042-22001	Open	$200.00 	2/1/2005	2/24/2005	Lehr	BHEC	008	TR	1/0/1900	1/0/1900		"Visual Basic, Part One"	This course introduces you to the concepts of Visual Basic through writing applications that run in Windows operating systems.  Topics will include the integrated development environment within Visual Basic and some of the powerful tools used to develop Windows  applications.  Each student will participate in a hands-on training opportunity by creating a complete application suitable for use in the business world.	"Introduction to Programming Languages, knowledge of a relational database such as Access."	Computer Training	Computer Training	Programming Languages	26	8	
2005SP	ITSE-2032-23001	Open	$200.00 	3/1/2005	3/24/2005	Lehr	BHEC	008	TR	1/0/1900	1/0/1900		"Visual Basic, Part Two"	"This project-based course introduces advanced topics in Visual Basic including: random access files techniques, class module creation, working with ActiveX DLLs, creating Win API wrapper functions, Web controls and creating a VB to VBA bridge.  Advanced function topics such as transitioning to the .NET environment as well as manipulating and working with the graphic methods in VB will be addressed as time permits."	"Visual Basic, Part One"	Computer Training	Computer Training	Programming Languages	26	8	
2005SP	BUSG-1012-23001	Open	$165.00 	3/29/2005	4/21/2005	Lehr	BHEC	008	TR	1/0/1900	1/0/1900		Visual Basic.NET	"Learn about the new .NET programming environment, namespaces, control differences and enhancements from Visual Basic 6, enhanced conditional and repetition 
	structures, structured error handling, structures and collections, ADO.NET and web forms."	"Visual Basic, Part 2 or equivalent experience"	Computer Training	Computer Training	Programming Languages	24	8	
2005SP	BUSG-1012-23002	Open	$165.00 	4/26/2005	5/19/2005	Lehr	BHEC	008	TR	1/0/1900	1/0/1900		Advanced Visual Basic.NET	"Looking for high level programming instruction in Visual Basic.NET? This class offers instruction in creating encryption keys for forms authentication, automation, visual 
inheritance, building class modules, dynamic control creation, and MDI forms. Students will have opportunities to pursue topics of class interest.
Prerequisites: Visual Basic.NET or equivalent experience."	Visual Basic.NET or equivalent experience.	Computer Training	Computer Training	Programming Languages	24	8	
2005SP	ITSE-1093-22001	Open	$495.00 	1/10/2005	2/7/2005	Beckwith	BHEC	008	MWF	1/0/1900	1/0/1900	No class 1/17	Java Programming Language for Non-Programmers	"Java Programming for Non-Programmers provides first-time programmers with knowledge and programming skills in the areas of object oriented and Java technology. By the end of class, students will be able to create from program specifications a working Java program that includes comments, correct variable declarations, syntax, and naming conventions; create and compile a Java program that uses the if or switch statement; create and invoke methods in a Java program, including methods with parameters; write a Java program that uses the while, for, or do loop; write a Java program that creates and accesses a one- or two-dimensional array and its elements and create an object-oriented Java program that makes use of inheritance or containment. Textbook is required."	"Computer literacy, ability to execute commands using a command-line interface"	Computer Training		Programming Languages	48	12	
2005SP	ITSE-1093-22002	Open	$365.00 	2/9/2005	2/25/2005	Beckwith	BHEC	008	MWF	1/0/1900	1/0/1900		Object-Oriented Programming	"	Object-Oreinted Programming With Java Technology teaches basic object-oriented concepts and object-oriented analysis and design as they relate to Java technology, as 
well as introductory Java programming language constructs. This course is ideal for developers with a non-object-oriented programming background who want to begin the 
migration to the Java programming language. Students will demonstrate understanding of key object-oriented programming concepts, identify objects in a problem domain, 
design a class diagram for a problem domain and develop basic Java classes based on a class diagram.
Prerequisites: Java Programming for Non-Programmers"	Java Programming for Non-Programmers	Computer Training		Programming Languages	32	8	
2005SP	ITSE-1093-23003	Open	$495.00 	2/28/2005	3/30/2005	Beckwith	BHEC	008	MWF	1/0/1900	1/0/1900	No class 3/18 and 3/25	Java Programming Language	"	The Java Programming Language course uses the Java 2 Software Development Kit to teach the syntax of the Java programming language; object-oriented programming 
with the Java programming language; creating graphical user interfaces (GUI); exceptions; file input/output; threads and networking. Students create sophisticated Java 
applications that leverage the object-oriented features of the Java language, such as inheritance and polymorphism.
Prerequisites: Object-Oriented Programming
	VISUAL BASIC.NET"	Object-Oriented Programming	Computer Training		Programming Languages	48	12	
2005SP	ARTS-1022-22002	Froz	$50.00 	2/26/2005	2/26/2005	Shalom	BHEC	013	S	1/0/1900	1/0/1900		QUILTING: HOW TO PREPARE A QUILT TOP	"Come and learn how to prepare a quilt top, and learn how to machine quilt. We will discuss free-motion, gridded, stencil and trapunto machine quilting. Students will need to bring an extension cord, their sewing machines, including a walking foot and a darning foot for their machines. The instructor will provide basic supplies and a practice piece that students will get to take home.  Sewing machines need to be cleaned and in good working order (sorry, but the instructor is not a machine repair person).  In order to get the most out of this class, students should be very familiar with their machines."		Art		Creative Arts	5	0	
2005SP	POFT-1004-22002	Open	$75.00 	1/22/2005	2/19/2005	Martin	BHEC	002	S	1/0/1900	1/0/1900		Business Writing	"This course is designed to introduce the theory and practice behind writing business documents.  You will develop your skills in writing business messages by learning about the communication process itself.  The student will learn to prepare, organize, write and revise business communications, including letters, memos, and e.mail correspondence."		BUSINESS		Communication and Writing	15	5
2005SP	POFT-1004-22003	Open	$75.00 	4/25/2005	5/23/2005	Martin	BHEC	008	M	1/0/1900	1/0/1900		Business Writing	"This course is designed to introduce the theory and practice behind writing business documents.  You will develop your skills in writing business messages by learning about the communication process itself.  The student will learn to prepare, organize, write and revise business communications, including letters, memos, and e.mail correspondence."		BUSINESS		Communication and Writing	15	5
2005SP	HDEV-1002-22001	Open	$80.00 	1/18/2005	5/12/2005	Meltzer	BHS	S065	MTWRF	1/0/1900	1/0/1900		CAREER TESTING and COUNSELING	"Individuals enrolling in this program will take the Strong Interest Inventory and the Myers Briggs Type Indicator.  A counselor will provide individual interpretation with the participant.  In addition, two one-hour sessions with a career counselor are included with this package, which may include resume and job search assistance. Access to the Choices, Discover and Sigi+ computerized career guidance programs, the DCCCD Job Bank and the Career Resource Library are also available. You may register and begin these services AT ANY TIME during the term. Please contact the Career Development Center by telephone at 972/860-4894, or email at bhc_Jobs@dcccd.edu, to schedule an appointment with a counselor once you have registered."		Career Development			80	8
2005SP	ITSC-1022-22003	Open	$100.00 	1/31/2005	2/4/2005	Norman	BHP	P121	MTWRF	1/0/1900	1/0/1900		Computer Literacy	"This 15-hour introductory course is designed to provide beginning computer users with the skills and confidence they need to enter the electronic age. Using hands-on practice sessions, students will learn how to get started on a PC. Topics include how to name and save files, organize files and folders, and protect files; connect to the Internet, browse and search the Web, and send E-mail and attachments. Students will be introduced to  application software, and learn how to write and print documents, make a spreadsheet and a presentation, work with graphics, record and edit sound, and create desktop video and animation. Other topics include how a computer works, memory, processors, how to upgrade, and how to buy a PC. Text required."		Computer Training		Computer Literacy	15	5
2005SP	CRWR-1004-22001	Open	$25.00 	2/24/2005	2/24/2005	Brown	BHEC	012	R	1/0/1900	1/0/1900		HOW TO GET PUBLISHED AND KEEP THE PROFITS	"We're going to tell you a secret that Manhattan publishing companies and vanity presses won't tell you: You can publish a top quality book that competes with best sellers, and you can retain all the rights and the profits.  Want to know more?  Don’t miss this opportunity to hear a professional share her experiences in the ever-changing publishing world.  Learn which publishing option will work best for you and your book as well as the advantages and disadvantages of each. If you have a completed manuscript or one in the works, feel free to bring it along. 
Milli Brown is the president of Brown Books Publishing Group, a twelve-year-old Dallas based publishing company.  Brown Books publishes all kinds of books and their titles include a Writer’s Digest Grand Prize Winner, Independent Publishers’ award winner, and a Hollywood Film Festival award winner.  Milli is also a successful author as well as a guest speaker on university publishing panels and at writers' conferences."		BUSINESS		Communication and Writing	3.5	0
2005SP	ITSC-1022-23006	Open	$100.00 	4/4/2005	4/8/2005	Norman	BHP	P121	MTWRF	1/0/1900	1/0/1900		Computer Literacy	"This 15-hour introductory course is designed to provide beginning computer users with the skills and confidence they need to enter the electronic age. Using hands-on practice sessions, students will learn how to get started on a PC. Topics include how to name and save files, organize files and folders, and protect files; connect to the Internet, browse and search the Web, and send E-mail and attachments. Students will be introduced to  application software, and learn how to write and print documents, make a spreadsheet and a presentation, work with graphics, record and edit sound, and create desktop video and animation. Other topics include how a computer works, memory, processors, how to upgrade, and how to buy a PC. Text required."		Computer Training		Computer Literacy	15	5
2005SP	ITSC-1022-22002	Open	$100.00 	1/10/2005	1/26/2005	Christopherson-Degan	BHJ	J115	MW	1/0/1900	1/0/1900	No class 1/17	Computer Literacy	"This 15-hour introductory course is designed to provide beginning computer users with the skills and confidence they need to enter the electronic age. Using hands-on practice sessions, students will learn how to get started on a PC. Topics include how to name and save files, organize files and folders, and protect files; connect to the Internet, browse and search the Web, and send E-mail and attachments. Students will be introduced to  application software, and learn how to write and print documents, make a spreadsheet and a presentation, work with graphics, record and edit sound, and create desktop video and animation. Other topics include how a computer works, memory, processors, how to upgrade, and how to buy a PC. Text required."		Computer Training		Computer Literacy	15	5
2005SP	CRWR-1004-22002	Open	$25.00 	5/5/2005	5/5/2005	Brown	BHEC	012	R	1/0/1900	1/0/1900		HOW TO GET PUBLISHED AND KEEP THE PROFITS	"We're going to tell you a secret that Manhattan publishing companies and vanity presses won't tell you: You can publish a top quality book that competes with best sellers, and you can retain all the rights and the profits.  Want to know more?  Don’t miss this opportunity to hear a professional share her experiences in the ever-changing publishing world.  Learn which publishing option will work best for you and your book as well as the advantages and disadvantages of each. If you have a completed manuscript or one in the works, feel free to bring it along. 
Milli Brown is the president of Brown Books Publishing Group, a twelve-year-old Dallas based publishing company.  Brown Books publishes all kinds of books and their titles include a Writer’s Digest Grand Prize Winner, Independent Publishers’ award winner, and a Hollywood Film Festival award winner.  Milli is also a successful author as well as a guest speaker on university publishing panels and at writers' conferences."		BUSINESS		Communication and Writing	3.5	0
2005SP	ITSC-1022-23005	Open	$100.00 	3/28/2005	4/1/2005	Christopherson-Degan	BHJ	J115	MTWRF	1/0/1900	1/0/1900		Computer Literacy	"This 15-hour introductory course is designed to provide beginning computer users with the skills and confidence they need to enter the electronic age. Using hands-on practice sessions, students will learn how to get started on a PC. Topics include how to name and save files, organize files and folders, and protect files; connect to the Internet, browse and search the Web, and send E-mail and attachments. Students will be introduced to  application software, and learn how to write and print documents, make a spreadsheet and a presentation, work with graphics, record and edit sound, and create desktop video and animation. Other topics include how a computer works, memory, processors, how to upgrade, and how to buy a PC. Text required."		Computer Training		Computer Literacy	15	5
2005SP	PHED-1022-22001	Open	$50.00 	1/26/2005	3/9/2005	Colameco	ORLT	TBA	W	1/0/1900	1/0/1900		YOGA	"The practice of yoga promotes vitality, improved appearance and inner calm. It encompasses the body, mind and spirit. This course teaches many of the basic hatha yoga postures, including breathing techniques and deep relaxation. These include warm-ups, standing postures, gentle back bends, forward bends, balancing poses and gentle spinal twists. Emphasis is placed on breathing into the stretches in order to enhance flexibility and relaxation. Note: For classes that meet at RL Turner HS at corner of Josey and Crosby.  Park in the rear of building and enter into the cafeteria.  The door to the classroom is unmarked and has no room number. The classroom is located behind the door at the rear of the cafeteria on the right-hand side."	"In case of major physical disability, please provide a medical release from your physician."	Sports and Wellness			7	6
2005SP	TEST-1004-22022	Open	$85.00 	1/25/2005	2/15/2005	Black	BHEC	004	TR	1/0/1900	1/0/1900		THEA: MATH REVIEW	"This class is available to all Brookhaven students to assist them in preparing for the THEA Math exam, formerly known as the TASP test. This is a review course. It is meant to help students with things they may have forgotten or that may be a bit unclear in their minds, and to give them an idea of how the test will be administered and graded.  This class cannot be used for THEA remediation. The text is needed for the first class meeting."		Test Preparation		UNDERGRADUATE STUDIES PREPARATION	21	7
2005SP	ITSC-1022-22006	Open	$100.00 	1/8/2005	2/5/2005	Christopherson-Degan	BHJ	J115	S	1/0/1900	1/0/1900		Computer Literacy	"This 15-hour introductory course is designed to provide beginning computer users with the skills and confidence they need to enter the electronic age. Using hands-on practice sessions, students will learn how to get started on a PC. Topics include how to name and save files, organize files and folders, and protect files; connect to the Internet, browse and search the Web, and send E-mail and attachments. Students will be introduced to  application software, and learn how to write and print documents, make a spreadsheet and a presentation, work with graphics, record and edit sound, and create desktop video and animation. Other topics include how a computer works, memory, processors, how to upgrade, and how to buy a PC. Text required."		Computer Training		Computer Literacy	15	5
2005SP	ITSC-1022-23004	Open	$100.00 	3/22/2005	4/5/2005	Christopherson-Degan	BHJ	J115	TR	1/0/1900	1/0/1900		Computer Literacy	"This 15-hour introductory course is designed to provide beginning computer users with the skills and confidence they need to enter the electronic age. Using hands-on practice sessions, students will learn how to get started on a PC. Topics include how to name and save files, organize files and folders, and protect files; connect to the Internet, browse and search the Web, and send E-mail and attachments. Students will be introduced to  application software, and learn how to write and print documents, make a spreadsheet and a presentation, work with graphics, record and edit sound, and create desktop video and animation. Other topics include how a computer works, memory, processors, how to upgrade, and how to buy a PC. Text required."		Computer Training		Computer Literacy	15	5
2005SP	TEST-1004-22025	Open	$75.00 	2/22/2005	3/17/2005	Leon	BHEC	007	TR	1/0/1900	1/0/1900		GED PREPARACIon: Math (ESPAÑOL)	Preparación para el examen de GED en español  es un repaso para el exámen de GED en  matematicas. Los individuos que no han completado el high school recibirán instrucción para ayudarles a pasar el exámen. Texto: GED Math Book en Espanol (Steck Vaughn).		Test Preparation		CURSO EN ESPANOL	24	8
2005SP	ITSC-1006-22002	Open	$110.00 	2/7/2005	2/11/2005	Norman	BHP	P121	MTWRF	1/0/1900	1/0/1900		Windows XP	"This course provides a comprehensive overview of the newest version of Microsoft Windows. This version includes a new look to the user interface, start menu and 
Control Panel, as well as increased stability of the operating system.  Students will use the Windows Explorer to create, open, save and manage files. Topics will include 
the start menu items, the desktop, shortcuts, the Taskbar, folder windows, programs and dialog boxes, Accessories, System Tools, and the Internet Explorer. Students will 
also learn how to work with multiple windows, transfer data between applications, and customize the computer using the Control Panel. Text required.
Prerequisites: Computer Literacy."	Computer Literacy.	Computer Training		Computer Literacy	18	4
2005SP	ITSC-1006-23006	Open	$110.00 	4/11/2005	4/15/2005	Norman	BHP	P121	MTWRF	1/0/1900	1/0/1900		Windows XP	"This course provides a comprehensive overview of the newest version of Microsoft Windows. This version includes a new look to the user interface, start menu and 
Control Panel, as well as increased stability of the operating system.  Students will use the Windows Explorer to create, open, save and manage files. Topics will include 
the start menu items, the desktop, shortcuts, the Taskbar, folder windows, programs and dialog boxes, Accessories, System Tools, and the Internet Explorer. Students will 
also learn how to work with multiple windows, transfer data between applications, and customize the computer using the Control Panel. Text required.
Prerequisites: Computer Literacy."	Computer Literacy.	Computer Training		Computer Literacy	18	4
2005SP	ITSC-1006-22007	Open	$110.00 	1/31/2005	2/16/2005	Christopherson-Degan	BHJ	J115	MW	1/0/1900	1/0/1900		Windows XP	"This course provides a comprehensive overview of the newest version of Microsoft Windows. This version includes a new look to the user interface, start menu and 
Control Panel, as well as increased stability of the operating system.  Students will use the Windows Explorer to create, open, save and manage files. Topics will include 
the start menu items, the desktop, shortcuts, the Taskbar, folder windows, programs and dialog boxes, Accessories, System Tools, and the Internet Explorer. Students will 
also learn how to work with multiple windows, transfer data between applications, and customize the computer using the Control Panel. Text required.
Prerequisites: Computer Literacy."	Computer Literacy.	Computer Training		Computer Literacy	18	6		
2005SP	ITSC-1006-22003	Open	$110.00 	2/12/2005	3/12/2005	Christopherson-Degan	BHJ	J115	S	1/0/1900	1/0/1900		Windows XP	"This course provides a comprehensive overview of the newest version of Microsoft Windows. This version includes a new look to the user interface, start menu and 
Control Panel, as well as increased stability of the operating system.  Students will use the Windows Explorer to create, open, save and manage files. Topics will include 
the start menu items, the desktop, shortcuts, the Taskbar, folder windows, programs and dialog boxes, Accessories, System Tools, and the Internet Explorer. Students will 
also learn how to work with multiple windows, transfer data between applications, and customize the computer using the Control Panel. Text required.
Prerequisites: Computer Literacy."	Computer Literacy.	Computer Training		Computer Literacy	18	4		
2005SP	TEST-1004-22026	Open	$75.00 	3/29/2005	4/21/2005	Leon	BHEC	007	TR	1/0/1900	1/0/1900		GED PREPARACIon: Math (ESPAÑOL)	Preparación para el examen de GED en español  es un repaso para el exámen de GED en  matematicas. Los individuos que no han completado el high school recibirán instrucción para ayudarles a pasar el exámen. Texto: GED Math Book en Espanol (Steck Vaughn).		Test Preparation		CURSO EN ESPANOL	24	8		
